Site ID,Planned Kiosk Type,Installation Status,PPT ID,Legacy ID,Borough,Council District,Community Board,Street Address,Cross Street 1,Cross Street 2,IxN Corner,Postcode,Zoning,Latitude,Longitude,Installation Complete,Activation Complete,Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Location
mn-12-139589,Link1.0,Live,139589,mn-12-139589,Manhattan,10,112,601 WEST 178 STREET,ST NICHOLAS AVENUE,WADSWORTH AVENUE,SW,10033,C1-4,40.847513,-73.935363,12/06/2017,03/09/2018,Washington Heights South,1079920,1021620001,1026300,"(40.847513, -73.935363)"
mn-02-133446,Link1.0,Live,133446,mn-02-133446,Manhattan,2,102,835 BROADWAY,EAST 13 STREET,EAST 12 STREET,SW,10003,C6-1,40.733892,-73.991056,10/29/2016,11/18/2016,West Village,1080130,1005647501,1006100,"(40.733892, -73.991056)"
bk-02-145793,Link1.0,Live,145793,LINK-018071,Brooklyn,35,302,464 GRAND AVENUE,FULTON STREET,LEFFERTS PLACE,NW,11238,C2-4,40.682200,-73.961648,03/06/2017,05/19/2017,Clinton Hill,3057641,3020140033,3020100,"(40.6822, -73.961648)"
bk-06-126514,Link1.0,Live,126514,bk-06-126514,Brooklyn,39,306,248 FLATBUSH AVENUE,ST MARKS AVENUE,PROSPECT PLACE,SW,11217,C2-4,40.679639,-73.974371,11/03/2017,01/16/2018,Prospect Heights,3018773,3009360012,3016100,"(40.679639, -73.974371)"
mn-04-133655,Link1.0,Live,133655,mn-04-133655,Manhattan,3,104,252 8 AVENUE,WEST 23 STREET,WEST 22 STREET,SE,10011,C2-7A,40.745039,-73.998529,05/26/2017,06/20/2017,Hudson Yards-Chelsea-Flatiron-Union Square,1014140,1007720083,1009100,"(40.745039, -73.998529)"
mn-05-121967,Link1.0,Live,121967,mn-05-121967,Manhattan,4,105,41 EAST 53 STREET,MADISON AVENUE,PARK AVENUE,NE,10022,C5-3,40.759712,-73.974008,03/18/2017,05/11/2017,Midtown-Midtown South,1035728,1012890021,1010200,"(40.759712, -73.974008)"
mn-06-121770,Link1.0,Live,121770,mn-06-121770,Manhattan,4,106,1063 2 AVENUE,EAST 56 STREET,EAST 57 STREET,NW,10022,C1-9,40.758777,-73.965840,05/12/2018,03/28/2019,Turtle Bay-East Midtown,1090233,1013307502,1010800,"(40.758777, -73.96584)"
mn-03-138878,Link1.0,Live,138878,mn-03-138878,Manhattan,2,103,80 1 AVENUE,EAST 4 STREET,EAST 5 STREET,NE,10009,C2-5,40.725291,-73.986842,08/26/2017,10/25/2017,East Village,1077561,1004320001,1003200,"(40.725291, -73.986842)"
mn-07-121275,Link1.0,Live,121275,mn-07-121275,Manhattan,6,107,454 COLUMBUS AVENUE,WEST 82 STREET,WEST 81 STREET,SW,10024,C1-8A,40.783825,-73.974249,02/09/2018,04/04/2018,Upper West Side,1032052,1012127501,1016500,"(40.783825, -73.974249)"
bx-05-159986,Link5G_Ad,Live,,,Bronx,14,205,117A FEATHERBED LANE,NELSON AVE,FEATHERBED LANE,SW,10452,C1-4,40.846280,-73.919300,12/19/2023,03/14/2024,University Heights-Morris Heights,,2028760001,,"(40.84628, -73.9193)"
bk-07-125917,Link1.0,Live,125917,bk-07-125917,Brooklyn,38,307,620 5 AVENUE,17 STREET,18 STREET,NW,11215,C2-4,40.663550,-73.991246,09/23/2017,01/16/2018,Park Slope-Gowanus,3009000,3006310046,3014300,"(40.66355, -73.991246)"
mn-07-121346,Link1.0,Live,121346,mn-07-121346,Manhattan,6,107,2060 BROADWAY,WEST 71 STREET,WEST 72 STREET,NE,10023,C4-6A,40.777921,-73.981853,01/27/2017,02/27/2017,Lincoln Square,1029873,1011430001,1015700,"(40.777921, -73.981853)"
qu-07-103162,Link5G_Ad,Live,103162,35021,Queens,20,407,4228 MAIN STREET,Main Street,Saul Street,N,11355,C1-2,40.754230,-73.828050,10/13/2022,04/09/2024,Flushing,4115413,4051220029,,"(40.75423, -73.82805)"
mn-05-138316,Link1.0,Live,138316,mn-05-138316,Manhattan,2,105,51 EAST 26 STREET,PARK AVENUE SOUTH,MADISON AVENUE,NW,10010,C5-3,40.742322,-73.985381,05/15/2019,06/02/2021,Hudson Yards-Chelsea-Flatiron-Union Square,1016880,1008560024,1005600,"(40.742322, -73.985381)"
bx-05-113539,Link1.0,Live,113539,bx-05-113539,Bronx,14,205,70 WEST BURNSIDE AVENUE,HARRISON AVENUE,UNIVERSITY AVENUE,SW,10453,C1-4,40.854346,-73.910218,12/06/2016,01/17/2017,University Heights-Morris Heights,2008556,2028680139,2024300,"(40.854346, -73.910218)"
bk-06-145895,Link1.0,Live,145895,LINK-021509,Brooklyn,39,306,615 CARROLL STREET,5 AVENUE,4 AVENUE,NW,11215,C1-4,40.675254,-73.981469,07/27/2017,09/11/2017,Park Slope-Gowanus,3259252,3009590084,3013300,"(40.675254, -73.981469)"
mn-05-123077,Link1.0,Live,123077,mn-05-123077,Manhattan,2,105,100 EAST 22 STREET,PARK AVENUE,LEXINGTON AVENUE,SE,10010,C6-4A,40.739409,-73.986712,03/11/2017,08/07/2017,Gramercy,1018009,1008770089,1006800,"(40.739409, -73.986712)"
bk-03-145830,Link1.0,Live,145830,LINK-019363,Brooklyn,36,303,517 NOSTRAND AVENUE,HERKIMER STREET,HERKIMER PLACE,SE,11216,C4-5D,40.679485,-73.949522,03/31/2017,04/28/2017,Crown Heights North,3000000,3018670018,3024700,"(40.679485, -73.949522)"
mn-04-134628,Link1.0,Live,134628,mn-04-134628,Manhattan,3,104,675 6 AVENUE,WEST 22 STREET,WEST 21 STREET,SE,10010,C6-2A,40.742126,-73.993522,10/28/2017,07/06/2018,Hudson Yards-Chelsea-Flatiron-Union Square,1014774,1007970037,1008700,"(40.742126, -73.993522)"
qu-04-136657,Link1.0,Live,136657,qu-04-136657,Queens,21,404,94-26 ROOSEVELT AVENUE,95 STREET,94 STREET,SW,11372,C2-4,40.748878,-73.871463,07/22/2017,09/08/2017,Elmhurst,4311592,4015890096,4046500,"(40.748878, -73.871463)"
mn-09-111652,Link1.0,Live,111652,mn-09-111652,Manhattan,7,109,3480 BROADWAY,WEST 142 STREET,WEST 143 STREET,NE,10031,C1-4,40.824559,-73.951597,05/27/2016,10/06/2016,Hamilton Heights,1061843,1020740001,1022900,"(40.824559, -73.951597)"
mn-07-136376,Link1.0,Live,136376,mn-07-136376,Manhattan,6,107,620 COLUMBUS AVENUE,WEST 90 STREET,WEST 91 STREET,NW,10024,C1-9,40.789263,-73.970284,02/14/2018,04/11/2018,Upper West Side,1032490,1012210029,1017700,"(40.789263, -73.970284)"
bk-08-145991,Link1.0,Live,145991,LINK-018097,Brooklyn,35,308,658 FRANKLIN AVENUE,ST MARKS AVENUE,PROSPECT PLACE,NW,11238,C2-4,40.675745,-73.956212,11/10/2017,03/12/2018,Crown Heights North,3028671,3011560051,3030500,"(40.675745, -73.956212)"
qu-12-151804,Link5G_Ad,Live,,,Queens,27,412,180-01 LINDEN BOULEVARD,180TH STREET,NEWBURG STREET,N,11434,C2-2,40.692301,-73.766565,09/07/2022,04/12/2023,St. Albans,,4103150096,424,"(40.692301, -73.766565)"
qu-13-160083,Link5G_NonAd,Live,,,Queens,23,413,81-51 261 STREET,262nd ST,261st ST,S,11004,R2A,40.745150,-73.709430,02/11/2025,04/15/2025,Glen Oaks-Floral Park-New Hyde Park,4177641,4087170001,,"(40.74515, -73.70943)"
bx-07-119685,Link5G_Ad,Live,,,Bronx,11,207,3500 JEROME AVENUE,EAST GUN HILL ROAD,EAST 212 STREET,,10467,C1-3,40.882786,-73.881014,05/16/2024,06/27/2024,Norwood,2017790,2033280008,2043100,"(40.8827861, -73.8810142)"
bk-16-155175,Link1.0,Live,155175,LINK-025025,Brooklyn,41,316,1642 PITKIN AVENUE,BRISTOL STREET,CHESTER STREET,SE,11212,C4-3,40.669368,-73.912433,06/02/2022,09/15/2022,Brownsville,3080741,3034980001,924,"(40.669368, -73.912433)"
qu-10-160023,Link5G_NonAd,Live,,,Queens,28,410,133-40 131 STREET,135th Ave,133rd Ave,W,11420,R3-2,40.668260,-73.807910,03/12/2024,04/16/2025,South Ozone Park,4256188,4117900001,,"(40.66826, -73.80791)"
qu-06-145955,Link1.0,Live,145955,LINK-019773,Queens,29,406,107-15 70 ROAD,AUSTIN STREET,QUEENS BOULEVARD,MIDBLOCK,11375,C4-4A,40.721177,-73.845607,09/30/2017,01/16/2018,Forest Hills,4077480,4032380014,4071100,"(40.721177, -73.845607)"
mn-05-122204,Link1.0,Live,122204,mn-05-122204,Manhattan,4,105,3 WEST 44 STREET,5 AVENUE,6 AVENUE,NW,10036,C5-3,40.754953,-73.980193,02/11/2017,04/14/2017,Midtown-Midtown South,1034227,1012607503,1009600,"(40.754953, -73.980193)"
mn-07-107814,Link1.0,Live,107814,mn-07-107814,Manhattan,6,107,2350 BROADWAY,WEST 86 STREET,WEST 85 STREET,SE,10024,C4-6A,40.788002,-73.976551,07/22/2016,08/10/2016,Upper West Side,1033133,1012330016,1017100,"(40.788002, -73.976551)"
mn-11-120229,Link1.0,Live,120229,mn-11-120229,Manhattan,8,111,2105 3 AVENUE,EAST 115 STREET,EAST 116 STREET,NE,10029,C4-4D,40.797303,-73.940337,02/22/2016,03/22/2016,East Harlem North,1052515,1016650001,1018800,"(40.797303, -73.940337)"
qu-03-125359,Link1.0,Live,125359,qu-03-125359,Queens,25,403,82-01 37 AVENUE,82 STREET,83 STREET,NE,11372,C4-3,40.749829,-73.884155,08/19/2017,11/08/2017,Jackson Heights,4035816,4014560041,4028300,"(40.749829, -73.884155)"
mn-06-133339,Link1.0,Live,133339,mn-06-133339,Manhattan,2,106,165 3 AVENUE,EAST 15 STREET,EAST 16 STREET,NE,10003,C1-9A,40.734473,-73.986175,01/08/2016,01/19/2016,Gramercy,1019531,1008970035,1004800,"(40.734473, -73.986175)"
bx-05-119599,Link1.0,Live,119599,LINK-011541,Bronx,14,205,66 EAST TREMONT AVENUE,EAST 177 STREET,E TREMONT AVENUE,SW,10453,C1-4,40.850709,-73.907732,02/23/2022,04/13/2022,Mount Hope,2096588,2028060007,2023301,"(40.850709, -73.907732)"
